feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
rh_parsorbitalis_PF,0.5309292649098475,2.536231777356278e-11,3.822202022037931e-11,0.9976156203002119,0.3444914037672367,0.3875269587383226,0.044713217746732814,0.04150389822253294,10.595811060322145
rh_caudalanteriorcingulate_MK,0.5224687933425798,6.171585685943533e-11,8.94359319487159e-13,1.3030716229409829,0.9790545219780603,1.142608117082451,0.12385333591667813,0.12715277013453083,10.209603236910263
lh_bankssts_MK,0.5070735090152566,2.539212258631917e-10,3.3219574673436577e-12,1.2527977514692314,0.9463829723557807,1.0906867098944086,0.12171063877157151,0.10826713678755837,9.595300993927545
lh_precentral_MD,0.5063800277392511,2.659493787174891e-10,2.2131864769606036e-11,1.2262810386270537,1.0465878142755822,1.163564644200469,0.09240133196373555,0.09829081104348539,9.575201019894562
rh_precentral_PF,0.4994452149791956,5.273606980082251e-10,2.9726281932918266e-11,1.016463373271175,0.3483396092497546,0.3917550007872423,0.04380375943579188,0.04159201242811439,9.277892239491706
rh_fusiform_PF,0.4977808599167822,6.114680404102554e-10,1.4786343209129224e-11,1.0659425543670147,0.34752519654506026,0.391497653683761,0.042897413349101216,0.0395385521280889,9.21362623729686
rh_insula_PF,0.4972260748959778,6.296854298645649e-10,3.589911619438463e-11,0.9893479119447295,0.3487918100375237,0.3908074824668543,0.045000614966695426,0.03977454562295244,9.20087635561429
rh_superiortemporal_MD,0.48751733703190014,1.5119267638405433e-09,1.464437247058847e-12,1.2981168291823266,0.9844585906780661,1.1190234165680264,0.10474183496250841,0.10256992418189095,8.820469245098199
rh_parahippocampal_MK,0.477253814147018,3.71008687647043e-09,1.3712276718659317e-10,1.150777650479697,0.9965657048018102,1.189290262634809,0.17298916616811885,0.16176951694794103,8.430615920700328
rh_caudalanteriorcingulate_MD,0.4710124826629681,6.582297863051279e-09,9.413137779155262e-10,1.020835531881817,1.0038956788851956,1.13982112459923,0.1298354104846558,0.13638634267406596,8.181622468843138
